# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP
47,DZF,DZF,DZF,7/15/2025,DZF,21,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
48,DZF,DZF,DZF,7/15/2025,DZF,40,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,608,Grey Brahman,1.9,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
49,DZF,DZF,DZF,7/15/2025,DZF,46,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
50,DZF,DZF,DZF,7/15/2025,DZF,R3,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,D2,Nukra,,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
51,DZF,DZF,DZF,7/15/2025,DZF,22,Local crossbred,Cow,.,.,.,Natural heat,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,D1,Nukra,,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
52,DZF,DZF,DZF,9/12/2025,DZF,66,Local crossbred,Cow,.,Right,14.6,CIDR+GnRH+PGF+GnRH,Frozen,.,,Masroor,Hamid,,7,1,,7,,Open,,,,8/30/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
53,DZF,DZF,DZF,9/12/2025,DZF,73,Local crossbred,Cow,.,Left,17,CIDR+GnRH+PGF+GnRH,Fresh,.,,Masroor,Hamid,,"6,6",1,,7,,Open,,,,9/4/2025,D2,Nukra,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
54,DZF,DZF,DZF,9/12/2025,DZF,55,Local crossbred,Cow,.,Right,19,CIDR+GnRH+PGF+GnRH,Frozen,.,,Masroor,Hamid,,7,1,,7,,Open,,,,8/30/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
55,DZF,DZF,DZF,9/12/2025,DZF,60,Local crossbred,Cow,.,Right,15.6,CIDR+GnRH+PGF+GnRH,Frozen,.,,Masroor,Hamid,,7,1,,7,,Open,,,,8/30/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
56,DZF,DZF,DZF,9/12/2025,DZF,58,Local crossbred,Cow,.,Left,15.8,CIDR+GnRH+PGF+GnRH,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,9/4/2025,D2,Nukra,,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
