# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP
176,DZF,DZF,DZF,11/13/2025,DZF,83,Local crossbred,Cow,.,Right,10.37,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,909,Grey Brahman,2.1,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
177,DZF,DZF,DZF,11/13/2025,DZF,89,Local crossbred,Cow,.,Left,12.4,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,909,Grey Brahman,2.1,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
178,DZF,DZF,DZF,11/13/2025,DZF,92,Local crossbred,Cow,.,Left,15.1,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,8,1,,7,12/12/2025,Open,,,,11/5/2025,NK1,Beef crossbred,.,SM007,.,Conventional,Beef Crossbred,,,
179,DZF,DZF,DZF,11/13/2025,DZF,93,Local crossbred,Cow,.,Right,12.3,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,909,Grey Brahman,2.1,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
180,DZF,DZF,DZF,11/13/2025,DZF,98,Local crossbred,Cow,.,Left,10.2,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,649,Grey Brahman,1.5,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
181,DZF,DZF,DZF,11/13/2025,DZF,66,Local crossbred,Cow,.,Right,15.45,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,04-04,Beef Master,-0.4,VL Rojo Whiskey 60/1,.,Sexed Female,Red Brahman,,,
182,DZF,DZF,DZF,11/13/2025,DZF,55,Local crossbred,Cow,.,Left,22.1,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Pregnant,,,,11/5/2025,612+2/4,Grey Brahman,.,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,97
183,DZF,DZF,DZF,11/13/2025,DZF,73,Local crossbred,Cow,.,Right,10.3,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Open,,,,11/5/2025,04-04,Beef Master,-0.4,VL Rojo Whiskey 60/1,.,Sexed Female,Red Brahman,,,
184,DZF,DZF,DZF,11/13/2025,DZF,111,Local crossbred,Cow,.,Right,13.75,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Open,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
185,DZF,DZF,DZF,11/13/2025,DZF,112,Local crossbred,Cow,.,Right,16,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Pregnant,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,97
186,DZF,DZF,DZF,11/13/2025,DZF,131,Local crossbred,Cow,.,Left,11.1,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Open,,,,11/5/2025,597,Grey Brahman,2.9,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
187,DZF,DZF,DZF,11/13/2025,DZF,123,Local crossbred,Cow,.,Right,15.1,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
188,DZF,DZF,DZF,11/13/2025,DZF,122,Local crossbred,Cow,.,Left,12.1,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Open,,,,11/5/2025,967,Grey Brahman,3,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
189,DZF,DZF,DZF,11/13/2025,DZF,159,Local crossbred,Cow,.,Right,8.15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Open,,,,11/5/2025,967,Grey Brahman,3,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
190,DZF,DZF,DZF,11/13/2025,DZF,158,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,
191,DZF,DZF,DZF,11/13/2025,DZF,149,Local crossbred,Cow,.,Right,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,612+2/4,Grey Brahman,.,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
192,DZF,DZF,DZF,11/13/2025,DZF,146,Local crossbred,Cow,.,Right,13.1,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,
193,DZF,DZF,DZF,11/13/2025,DZF,144,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
194,DZF,DZF,DZF,11/13/2025,DZF,143,Local crossbred,Cow,.,Left,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,609,Grey Brahman,2.3,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
195,DZF,DZF,DZF,11/13/2025,DZF,141,Local crossbred,Cow,.,Right,12.35,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,747,Grey Brahman,1.6,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
196,DZF,DZF,DZF,11/13/2025,DZF,138,Local crossbred,Cow,.,Right,14.45,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,04-04,Beef Master,-0.4,VL Rojo Whiskey 60/1,.,Sexed Female,Red Brahman,,,
197,DZF,DZF,DZF,11/13/2025,DZF,136,Local crossbred,Cow,.,Left,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Open,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
198,DZF,DZF,DZF,11/13/2025,DZF,163,Local crossbred,Cow,.,Right,17.1,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Recheck,,,,11/5/2025,SM006,Beef crossbred,.,SM007,.,Conventional,Beef Crossbred,,,
199,DZF,DZF,DZF,11/13/2025,DZF,167,Local crossbred,Cow,.,Left,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,909,Grey Brahman,2.1,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
200,DZF,DZF,DZF,11/13/2025,DZF,31459,Local crossbred,Cow,.,Left,13.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Recheck,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
201,DZF,DZF,DZF,11/13/2025,DZF,31525,Local crossbred,Cow,.,Left,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Open,,,,11/5/2025,747,Grey Brahman,1.6,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
202,DZF,DZF,DZF,11/13/2025,DZF,31824,Local crossbred,Cow,.,Right,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
203,DZF,DZF,DZF,11/13/2025,DZF,59,Local crossbred,Cow,.,Right,15.4,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,97
204,DZF,DZF,DZF,11/13/2025,DZF,64,Local crossbred,Cow,.,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
205,DZF,DZF,DZF,11/13/2025,DZF,119,Local crossbred,Cow,.,Left,17,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,909,Grey Brahman,2.1,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
206,DZF,DZF,DZF,11/13/2025,DZF,114,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,97
207,DZF,DZF,DZF,11/13/2025,DZF,120,Local crossbred,Cow,.,Left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,909,Grey Brahman,2.1,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
208,DZF,DZF,DZF,11/13/2025,DZF,151,Local crossbred,Cow,.,Right,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Open,,,,11/5/2025,NK1,Beef crossbred,.,SM007,.,Conventional,Beef Crossbred,,,
209,DZF,DZF,DZF,11/13/2025,DZF,170,Local crossbred,Cow,.,Right,14.2,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,97
210,DZF,DZF,DZF,11/13/2025,DZF,177,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
211,DZF,DZF,DZF,11/13/2025,DZF,184,Local crossbred,Cow,.,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
212,DZF,DZF,DZF,11/13/2025,DZF,192,Local crossbred,Cow,.,Right,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Open,,,,11/5/2025,NK1,Beef crossbred,.,SM007,.,Conventional,Beef Crossbred,,,
213,DZF,DZF,DZF,11/13/2025,DZF,204,Local crossbred,Cow,.,Right,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,
214,DZF,DZF,DZF,11/13/2025,DZF,205,Local crossbred,Cow,.,Left,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,NK1,Beef crossbred,.,SM007,,Conventional,Beef Crossbred,,,
215,DZF,DZF,DZF,11/13/2025,DZF,213,Local crossbred,Cow,.,Left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,97
216,DZF,DZF,DZF,11/13/2025,DZF,231,Local crossbred,Cow,.,Right,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,SM006,Beef crossbred,.,SM007,,Conventional,Beef Crossbred,,,97
217,DZF,DZF,DZF,11/13/2025,DZF,238,Local crossbred,Cow,.,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
218,DZF,DZF,DZF,11/13/2025,DZF,266,Local crossbred,Cow,.,Left,14.2,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
219,DZF,DZF,DZF,11/13/2025,DZF,32210,Local crossbred,Cow,.,Left,14.5,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,,Conventional,Beef Crossbred,,,
220,DZF,DZF,DZF,11/13/2025,DZF,32794,Local crossbred,Cow,.,Right,13.5,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Open,,,,11/5/2025,NK1,Beef crossbred,.,SM007,,Conventional,Beef Crossbred,,,
221,DZF,DZF,DZF,11/13/2025,DZF,99,Local crossbred,Cow,.,Right,13,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Open,,,,11/5/2025,612+2/4,Grey Brahman,.,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
222,DZF,DZF,DZF,11/13/2025,DZF,57,Local crossbred,Cow,.,Left,9.9,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
223,DZF,DZF,DZF,11/13/2025,DZF,74,Local crossbred,Cow,.,Right,12,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,
224,DZF,DZF,DZF,11/13/2025,DZF,69,Local crossbred,Cow,.,Right,10,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,8,1,,7,12/12/2025,Open,,,,11/5/2025,609,Grey Brahman,2.3,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
225,DZF,DZF,DZF,11/13/2025,DZF,107,Local crossbred,Cow,.,Right,14,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,N,Grey Brahman,2.1,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
226,DZF,DZF,DZF,11/13/2025,DZF,125,Local crossbred,Cow,.,Left,11.5,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,909,Grey Brahman,2.1,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,97
227,DZF,DZF,DZF,11/13/2025,DZF,118,Local crossbred,Cow,.,Left,13,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Open,,,,11/5/2025,649,Grey Brahman,1.5,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
228,DZF,DZF,DZF,11/13/2025,DZF,150,Local crossbred,Cow,.,Left,12,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
229,DZF,DZF,DZF,11/13/2025,DZF,139,Local crossbred,Cow,.,Right,14,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,97
230,DZF,DZF,DZF,11/13/2025,DZF,171,Local crossbred,Cow,.,Right,13,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Pregnant,,,,11/5/2025,SM006,Beef crossbred,.,SM007,.,Conventional,Beef Crossbred,,,97
231,DZF,DZF,DZF,11/13/2025,DZF,206,Local crossbred,Cow,.,Right,14.5,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,97
232,DZF,DZF,DZF,11/13/2025,DZF,207,Local crossbred,Cow,.,Right,12,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Open,,,,11/5/2025,NK1,Beef crossbred,.,SM007,.,Conventional,Beef Crossbred,,,
233,DZF,DZF,DZF,11/13/2025,DZF,216,Local crossbred,Cow,.,Right,18,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Open,,,,11/5/2025,NK1,Beef crossbred,.,SM007,.,Conventional,Beef Crossbred,,,
234,DZF,DZF,DZF,11/13/2025,DZF,220,Local crossbred,Cow,.,Right,13,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,
235,DZF,DZF,DZF,11/13/2025,DZF,221,Local crossbred,Cow,.,Left,18,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,97
236,DZF,DZF,DZF,11/13/2025,DZF,248,Local crossbred,Cow,.,Left,12,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,5,1,,7,12/12/2025,Open,,,,11/5/2025,NK1,Beef crossbred,.,SM007,.,Conventional,Beef Crossbred,,,
237,DZF,DZF,DZF,11/13/2025,DZF,252,Local crossbred,Cow,.,Left,13,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,97
238,DZF,DZF,DZF,11/13/2025,DZF,253,Local crossbred,Cow,.,Right,14,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,
239,DZF,DZF,DZF,11/13/2025,DZF,254,Local crossbred,Cow,.,Right,14,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,97
240,DZF,DZF,DZF,11/13/2025,DZF,259,Local crossbred,Cow,.,Right,13,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,12/12/2025,Open,,,,11/5/2025,NK1,Beef crossbred,.,SM007,.,Conventional,Beef Crossbred,,,
241,DZF,DZF,DZF,11/13/2025,DZF,261,Local crossbred,Cow,.,Right,15.5,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
242,DZF,DZF,DZF,11/13/2025,DZF,264,Local crossbred,Cow,.,Left,10.5,CIDR+Estradiol+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,
243,DZF,DZF,DZF,11/14/2025,DZF,134,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/6/2025,85M,Angus,-6.1,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
244,DZF,DZF,DZF,11/14/2025,DZF,172,Local crossbred,Cow,.,Right,10.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/6/2025,D2,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
245,DZF,DZF,DZF,11/14/2025,DZF,186,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/6/2025,29M,Angus,-7.6,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
246,DZF,DZF,DZF,11/14/2025,DZF,189,Local crossbred,Cow,.,Right,19.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,4,1,,7,12/12/2025,Open,,,,11/6/2025,600,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
247,DZF,DZF,DZF,11/14/2025,DZF,214,Local crossbred,Cow,.,Left,19,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,5,1,,7,12/12/2025,Open,,,,11/6/2025,233M,Angus,-2.6,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
248,DZF,DZF,DZF,11/14/2025,DZF,225,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/6/2025,608,Grey Brahman,1.9,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
249,DZF,DZF,DZF,11/14/2025,DZF,234,Local crossbred,Cow,.,Right,9.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/6/2025,608,Grey Brahman,1.9,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
250,DZF,DZF,DZF,11/14/2025,DZF,241,Local crossbred,Cow,.,Left,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Pregnant,,,,11/6/2025,29M,Angus,-7.6,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,96
251,DZF,DZF,DZF,11/14/2025,DZF,242,Local crossbred,Cow,.,Left,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,4,1,,7,12/12/2025,Open,,,,11/6/2025,600,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
252,DZF,DZF,DZF,11/14/2025,DZF,243,Local crossbred,Cow,.,Left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Pregnant,,,,11/6/2025,608,Grey Brahman,1.9,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,96
253,DZF,DZF,DZF,11/14/2025,DZF,244,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Pregnant,,,,11/6/2025,29M,Angus,-7.6,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,96
254,DZF,DZF,DZF,11/14/2025,DZF,255,Local crossbred,Cow,.,Right,18,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/6/2025,29M,Angus,-7.6,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
255,DZF,DZF,DZF,11/14/2025,DZF,256,Local crossbred,Cow,.,Right,10.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/6/2025,608,Grey Brahman,1.9,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
256,DZF,DZF,DZF,11/14/2025,DZF,271,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/6/2025,608,Grey Brahman,1.9,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
257,DZF,DZF,DZF,11/14/2025,DZF,272,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,12/12/2025,Pregnant,,,,11/6/2025,D3,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,Dawood,-96,96
258,DZF,DZF,DZF,11/14/2025,DZF,273,Local crossbred,Cow,.,Right,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/6/2025,85M,Angus,-6.1,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
259,DZF,DZF,DZF,11/14/2025,DZF,277,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,12/12/2025,Pregnant,,,,11/6/2025,D3,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,Dawood,-96,96
260,DZF,DZF,DZF,11/14/2025,DZF,278,Local crossbred,Cow,.,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,4,1,,7,12/12/2025,Open,,,,11/6/2025,600,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
261,DZF,DZF,DZF,11/14/2025,DZF,280,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,5,1,,7,12/12/2025,Open,,,,11/6/2025,233M,Angus,-2.6,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
262,DZF,DZF,DZF,11/14/2025,DZF,282,Local crossbred,Cow,.,Right,11.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/6/2025,D2,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
263,DZF,DZF,DZF,11/14/2025,DZF,283,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/6/2025,D2,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
